Ticker,Date,Close_Date,Market_Cap
HUM,2025-07-11,230.67,28629699204.75
IBM,2025-07-11,283.59,271820616290.25003
ICE,2025-07-11,180.51,105025233957.39
IEX,2025-07-11,181.47,13547414193.980001
IFF,2025-07-11,75.95,19184275875.0
INTC,2025-07-11,23.43,95964000000.0
INVH,2025-07-11,32.35,19804393433.88
IQV,2025-07-11,162.8,28103849999.999996
IR,2025-07-11,89.02,35036703733.72
IRM,2025-07-11,97.99,29598803646.719997
IT,2025-07-11,374.4,30765993727.010002
IVZ,2025-07-11,17.43,7483141101.919999
JBHT,2025-07-11,153.57,14835543029.960001
JCI,2025-07-11,105.85,69739853383.90001
JNJ,2025-07-11,156.9,373590998030.33
JPM,2025-07-11,286.86,811406261181.3901
K,2025-07-11,79.44,27637166634.84
KIM,2025-07-11,21.48,14348486523.0
KKR,2025-07-11,141.05,120717603532.62
KLAC,2025-07-11,924.58,120686173846.6
KMB,2025-07-11,129.38,43683581007.75
KMI,2025-07-11,27.84,62971185521.89
KMX,2025-07-11,64.34,10321962614.56
KVUE,2025-07-11,21.34,40126117704.2
L,2025-07-11,90.59,19176747485.600002
LDOS,2025-07-11,162.05,21169105689.120003
LH,2025-07-11,249.62,21583719000.0
LKQ,2025-07-11,38.6,9874148568.75
LMT,2025-07-11,467.51,109898859714.18001
LNT,2025-07-11,62.08,15913486723.050001
LOW,2025-07-11,224.13,126092868898.41
LRCX,2025-07-11,101.73,125532640520.0
LUV,2025-07-11,37.13,19267162664.190002
LVS,2025-07-11,49.81,34158376057.04
LW,2025-07-11,51.32,7192662896.55
LYV,2025-07-11,143.94,34160844717.659996
MAA,2025-07-11,150.72,17569192294.260002
MAR,2025-07-11,281.65,76252679529.59999
MCD,2025-07-11,299.91,209883556356.30997
MCHP,2025-07-11,74.56,38575937119.920006
MCK,2025-07-11,709.59,91845439191.66
MCO,2025-07-11,499.53,90395355097.85
MDLZ,2025-07-11,67.18,89109193969.85999
MDT,2025-07-11,89.92,112328476512.01001
MKC,2025-07-11,71.95,19695593791.170002
MKTX,2025-07-11,216.05,8323493658.95
MLM,2025-07-11,562.0,33536171285.19
MMC,2025-07-11,211.74,105029849321.59999
MMM,2025-07-11,155.84,81717458006.08
MNST,2025-07-11,58.83,61294221093.15
MPC,2025-07-11,179.86,54207879950.6
MPWR,2025-07-11,736.06,35487219600.0
MRK,2025-07-11,83.36,203142428367.7
MRNA,2025-07-11,33.64,11563580418.0
MS,2025-07-11,142.28,230604835770.92
MSFT,2025-07-11,503.32,3699325732487.8003
MU,2025-07-11,124.53,134205482111.92
NCLH,2025-07-11,22.62,9584004294.15
NDAQ,2025-07-11,89.41,51986712691.0
NDSN,2025-07-11,220.82,12363592295.34
NEM,2025-07-11,60.13,66957895549.439995
NFLX,2025-07-11,1245.11,548825216058.92
NOC,2025-07-11,514.6,73104003725.2
NOW,2025-07-11,938.78,214404299404.11
NSC,2025-07-11,266.57,58613055824.990005
NTAP,2025-07-11,105.27,21138630091.0
NTRS,2025-07-11,125.91,24998206887.5
NVR,2025-07-11,7632.24,22148019825.0
NWSA,2025-07-11,29.54,16602493463.82
NXPI,2025-07-11,228.92,57094085748.0
O,2025-07-11,57.16,51954189350.91
ODFL,2025-07-11,167.73,34722875488.14
ORCL,2025-07-11,230.56,652379552580.0
ORLY,2025-07-11,91.62,79218191922.75
OTIS,2025-07-11,99.49,39380830449.54
OXY,2025-07-11,46.31,42662151591.3
PAYC,2025-07-11,220.2,13017910775.63
PCAR,2025-07-11,97.21,50732078832.0
PEG,2025-07-11,82.55,41062538013.9
PEP,2025-07-11,135.26,184341644152.99997
PFE,2025-07-11,25.65,143498627415.88
PFG,2025-07-11,80.37,17977858167.06
PHM,2025-07-11,114.27,21674195028.920002
PKG,2025-07-11,205.9,18110275405.08
PLTR,2025-07-11,142.1,328311012670.64
PNC,2025-07-11,197.02,77630025516.25
PNR,2025-07-11,107.08,17275334685.0
PODD,2025-07-11,289.32,21161739346.1
POOL,2025-07-11,306.32,11134950186.34
PPG,2025-07-11,117.3,26206521492.16
PPL,2025-07-11,34.27,24898408556.16
PRU,2025-07-11,105.94,37684013002.1
PSA,2025-07-11,289.13,51217180880.799995
PTC,2025-07-11,193.505,20969283486.64
PYPL,2025-07-11,71.36,74087550913.22
RCL,2025-07-11,338.51,89302628332.20001
REG,2025-07-11,69.34,12692293445.12
RJF,2025-07-11,158.4,31731953736.64
RL,2025-07-11,286.99,17312366557.71
RMD,2025-07-11,254.4,37596731377.590004
ROL,2025-07-11,55.26,27251670220.879997
ROP,2025-07-11,547.46,60853714702.0
ROST,2025-07-11,131.17,42771012031.170006
RTX,2025-07-11,146.87,194942374118.4
RVTY,2025-07-11,101.5,11634914138.599998
SHW,2025-07-11,345.93,86780475540.78
SLB,2025-07-11,37.31,47216109807.3
SMCI,2025-07-11,49.24,28116079303.06
SNA,2025-07-11,317.57,16584621171.840002
SO,2025-07-11,92.66,100843749042.4
SOLV,2025-07-11,73.8,13190505173.279999
SPGI,2025-07-11,527.07,162597078951.3
SRE,2025-07-11,74.56,48514954568.2
STE,2025-07-11,228.03,22951916820.28
STLD,2025-07-11,135.07,19817107907.24
STX,2025-07-11,147.18,31490949334.569996
SW,2025-07-11,47.2,24451071542.36
SYF,2025-07-11,70.61,26531794154.600002
SYK,2025-07-11,389.46,150003531161.15
TDG,2025-07-11,1543.04,85611555969.55
TECH,2025-07-11,54.14,8079002547.825
TEL,2025-07-11,177.11,50750970234.82
TFC,2025-07-11,45.43,59138779478.759995
TGT,2025-07-11,104.24,46163575541.6
TJX,2025-07-11,123.71,139641607656.08002
TMO,2025-07-11,434.86,158056700954.4
TPL,2025-07-11,1046.78,23767056097.920002
TPR,2025-07-11,98.43,19205107893.09
TRGP,2025-07-11,171.9,37412068403.14
TRMB,2025-07-11,79.99,18760089440.969997
TRV,2025-07-11,254.48,58679049886.14
TT,2025-07-11,437.5,96923625842.20001
TTWO,2025-07-11,233.92,44355683062.24
TXN,2025-07-11,221.25,193877026379.38998
TXT,2025-07-11,85.02,14690442074.630001
UAL,2025-07-11,87.69,26490572232.7
UBER,2025-07-11,95.39,202174131714.64
UDR,2025-07-11,40.4,13556625690.960001
UHS,2025-07-11,182.52,11697220318.880001
ULTA,2025-07-11,476.84,21393658523.95
UNP,2025-07-11,235.1,140615884813.5
VLO,2025-07-11,153.05,45020247832.54
VLTO,2025-07-11,101.93,25460299074.239998
VRSK,2025-07-11,300.51,43108076009.090004
VRSN,2025-07-11,281.39,26995311000.0
VRTX,2025-07-11,468.85,117975195679.67001
VTR,2025-07-11,64.77,28441222301.26
VZ,2025-07-11,41.62,180455710319.19998
WAB,2025-07-11,213.66,36467020923.0
WAT,2025-07-11,352.91,20633586428.97
WBA,2025-07-11,11.52,9997225796.25
WDAY,2025-07-11,223.37,64305621160.0
WEC,2025-07-11,105.51,33288815489.31
WELL,2025-07-11,155.16,100858951412.25
WFC,2025-07-11,82.55,267949382603.64
WMB,2025-07-11,58.22,71404453043.92
WMT,2025-07-11,94.4,792854544593.3999
WRB,2025-07-11,68.88,26839425750.75
WST,2025-07-11,227.18,15912311218.72
WTW,2025-07-11,307.32,30270431192.3
WYNN,2025-07-11,111.17,11361915889.67
XEL,2025-07-11,68.62,39150510410.439995
XYZ,2025-07-11,65.14,42688468790.0
ZBH,2025-07-11,93.79,18314779547.579998
ZTS,2025-07-11,154.96,69919924723.65001
